model,c,n_target,rep,seed,n,m,avg_deg,n_components,N1,N2,giant_frac,giant_n,giant_lambda2,giant_phi_star,giant_ipr2,core_frac,core_n,core_lambda2,core_phi_star,core_ipr2
ER,2,1000,6,3006,1000,973,1.946,160,279,290,0.794,794,0.010480481542703778,0.08333333333333333,0.07781014947068572,0.428,428,0.03647980141689941,0.08928571428571429,0.01704037025271976
ER,2,1000,10,3010,1000,982,1.964,191,258,270,0.765,765,0.01302892080580027,0.043478260869565216,0.10665099781213232,0.471,471,0.04103454309086637,0.10452418096723869,0.015576306097945367
ER,2,1000,9,3009,1000,1008,2.016,157,273,261,0.807,807,0.018047041440768245,0.06503067484662577,0.01804176801031227,0.483,483,0.03013213893842717,0.0875,0.013707380753781915
ER,2,1000,7,3007,1000,1035,2.07,173,229,281,0.801,801,0.013745836102541098,0.05263157894736842,0.07492020070702121,0.529,529,0.03923453819671843,0.12021857923497267,0.023743151447409044
ER,2,1000,11,3011,1000,957,1.914,172,300,268,0.766,766,0.013865534362242379,0.05972045743329098,0.04453606916956942,0.43,430,0.028609328434275154,0.09023941068139964,0.03624271000822007
ER,2,1000,12,3012,1000,950,1.9,192,285,264,0.753,753,0.007358954348589934,0.030303030303030304,0.08406795141350208,0.401,401,0.03849893150578302,0.09665427509293681,0.03129811955538901
ER,2,1000,13,3013,1000,983,1.966,173,277,265,0.784,784,0.011704515111552025,0.037037037037037035,0.061216864731435026,0.463,463,0.03636440114611948,0.09180327868852459,0.013804925114323335
ER,2,1000,16,3016,1000,972,1.944,167,290,269,0.789,789,0.010086758814254844,0.043478260869565216,0.06781846164452586,0.442,442,0.03581909653132318,0.11372549019607843,0.05272256767587858
ER,2,1000,17,3017,1000,969,1.938,173,291,267,0.771,771,0.010462951790173376,0.043478260869565216,0.10064349606691697,0.435,435,0.0299693615803671,0.07692307692307693,0.05227151608599126
ER,2,1000,15,3015,1000,986,1.972,171,274,260,0.782,782,0.012429846457366727,0.05405405405405406,0.03877327620529776,0.465,465,0.03440296442884178,0.10986964618249534,0.03887153576129951
ER,2,1000,14,3014,1000,1019,2.038,151,256,292,0.818,818,0.017794718019795208,0.06313645621181263,0.027972589927792953,0.5,500,0.031166126443866037,0.08685968819599109,0.00809724148366243
ER,2,1000,18,3018,1000,1039,2.078,151,254,280,0.8,800,0.023261374997267405,0.07252298263534218,0.017049032774394176,0.502,502,0.042893011204180015,0.10461538461538461,0.010771045343609677
ER,2,1000,19,3019,1000,989,1.978,167,271,294,0.77,770,0.01595968142380314,0.058823529411764705,0.07139483302302059,0.474,474,0.029971657709462713,0.1111111111111111,0.017558974322417025
ER,2,3000,3,5003,3000,2921,1.9473333333333334,512,858,822,0.7813333333333333,2344,0.007658059330252653,0.037037037037037035,0.08262197004266655,0.42533333333333334,1276,0.027694358431596178,0.09090909090909091,0.08598754777639742
ER,2,3000,0,5000,3000,2994,1.996,484,827,819,0.796,2388,0.0046360078858400655,0.024390243902439025,0.06475660007447064,0.446,1338,0.03213195594426667,0.10451170759565963,0.0171550499980852
ER,2,3000,2,5002,3000,2971,1.9806666666666666,518,828,829,0.7733333333333333,2320,0.006483222629617202,0.04,0.08556120103040257,0.45366666666666666,1361,0.037563751338507194,0.10875627440044618,0.028241708794198545
ER,2,3000,1,5001,3000,3023,2.0153333333333334,475,805,821,0.8033333333333333,2410,0.00905840961785831,0.04,0.09719824871808978,0.4653333333333333,1396,0.03070244874305127,0.12,0.015546844731164107
ER,2,3000,4,5004,3000,3057,2.038,462,784,845,0.8083333333333333,2425,0.009743771244346444,0.05263157894736842,0.11337852522738423,0.496,1488,0.032813614403918286,0.0890890890890891,0.005511315660189111
ER,2,3000,5,5005,3000,3000,2.0,464,799,841,0.8126666666666666,2438,0.012793574774280003,0.06666666666666667,0.09264897884053382,0.478,1434,0.03229748890881161,0.08963282937365011,0.00982439566415356
ER,2,3000,7,5007,3000,3009,2.006,505,835,800,0.7813333333333333,2344,0.00557358116995732,0.03225806451612903,0.06184921957516469,0.469,1407,0.03677831600449587,0.10287206266318538,0.038982017697309024
ER,2,3000,6,5006,3000,2966,1.9773333333333334,517,796,817,0.7843333333333333,2353,0.014422473553149517,0.047619047619047616,0.10792602425870075,0.47633333333333333,1429,0.02684041167646719,0.1111111111111111,0.04859049318647384
ER,2,3000,9,5009,3000,3004,2.002666666666667,499,783,837,0.7886666666666666,2366,0.008819375189287326,0.043478260869565216,0.07591475968721623,0.4806666666666667,1442,0.03439627700300576,0.08608554412560909,0.004958425860758778
ER,2,3000,8,5008,3000,3028,2.018666666666667,481,796,816,0.8036666666666666,2411,0.00865130382570567,0.037037037037037035,0.10769173223234758,0.4716666666666667,1415,0.03629101505535165,0.10010427528675704,0.024089270059191828
ER,2,3000,10,5010,3000,2927,1.9513333333333334,519,844,823,0.7763333333333333,2329,0.011196324435776006,0.07317073170731707,0.07477041682864027,0.44666666666666666,1340,0.02620792809027791,0.10618966496308915,0.04414235782838604
ER,2,3000,11,5011,3000,3015,2.01,458,845,837,0.799,2397,0.009323056754761305,0.043478260869565216,0.14263052794584521,0.472,1416,0.031987927748026154,0.08744038155802862,0.007689363906797882
ER,2,3000,15,5015,3000,2954,1.9693333333333334,489,849,824,0.78,2340,0.01183419534360386,0.08695652173913043,0.08789047735629599,0.443,1329,0.031236981860909938,0.08361581920903954,0.033855128316754
