model,n_target,c,gamma,D,rep,n,m,avg_deg,N2,P2,q,giant_frac,giant_n,giant_lambda2,core_frac,core_n,core_m,d_bar_core,core_lambda2,core_P2,q_core
ER,30000,2.8,,,2,30000,42120,2.808,7269,0.2423,0.17257834757834759,0.9249,27747,0.016294029350128802,0.7343666666666666,22031,36180,3.284462802414779,0.052218966189047755,0.3450138441287277,0.21008844665561086
ER,30000,2.8,,,3,30000,41969,2.7979333333333334,7082,0.23606666666666667,0.16874359646405682,0.9252,27756,0.02473589042925406,0.7317666666666667,21953,35927,3.273083405457113,0.052830419042520615,0.34314216735753655,0.20967517465972665
ER,30000,3.2,,,0,30000,48030,3.202,6206,0.20686666666666667,0.12921090984801167,0.9527333333333333,28582,0.031023074324721067,0.8059333333333333,24178,43524,3.600297791380594,0.055924192778463944,0.27210687401770206,0.1511579818031431
ER,30000,3.2,,,1,30000,48089,3.2059333333333333,6196,0.20653333333333335,0.12884443427810935,0.9517,28551,0.03333499129840933,0.8086333333333333,24259,43668,3.6001483985325033,0.0835728269354945,0.2695494455665938,0.14974351928185398
ER,30000,3.2,,,2,30000,48003,3.2002,6159,0.2053,0.12830448096993938,0.9514,28542,0.03276179810063806,0.8066666666666666,24200,43549,3.599090909090909,0.07005912906799616,0.26731404958677685,0.14854531676961583
ER,30000,3.2,,,3,30000,47948,3.1965333333333334,6338,0.21126666666666666,0.1321848669391841,0.9533666666666667,28601,0.024055024595813324,0.8076666666666666,24230,43457,3.5870408584399507,0.0766222241627732,0.276723070573669,0.15429044802908623
ER,30000,3.6,,,0,30000,53894,3.5929333333333333,5349,0.1783,0.0992503803762942,0.9695,29085,0.02669175250867739,0.8644333333333334,25933,50684,3.9088420159642157,0.08838779795370622,0.21702078432884742,0.11104095967169125
ER,30000,3.6,,,1,30000,54039,3.6026,5394,0.1798,0.09981679897851552,0.9695333333333334,29086,0.05056919354242617,0.8614666666666667,25844,50746,3.9271010679461384,0.10350029077080403,0.21892895836557807,0.1114964726283845
ER,30000,3.6,,,2,30000,53885,3.5923333333333334,5382,0.1794,0.09987937273823884,0.9701333333333333,29104,0.03171234800179401,0.8627333333333334,25882,50611,3.9109033304999614,0.1037142815876324,0.21768024109419673,0.11131967358874552
ER,30000,3.6,,,3,30000,53737,3.5824666666666665,5279,0.17596666666666666,0.09823771330740458,0.9684333333333334,29053,0.03245066903830707,0.8623666666666666,25871,50505,3.9043716903096133,0.10237552168638198,0.21232267790189788,0.10876150876150875
ER,30000,4.0,,,0,30000,59952,3.9968,4423,0.14743333333333333,0.07377568721643982,0.98,29400,0.04294524173428882,0.9035666666666666,27107,57634,4.25233334563028,0.11865758973744911,0.1692182831003062,0.07958843738071278
ER,30000,4.0,,,1,30000,60512,4.034133333333333,4377,0.1459,0.07233276044420942,0.9818666666666667,29456,0.07485756693474332,0.9071,27213,58245,4.280674677543821,0.09427678770609638,0.167750707382501,0.07837582625118035
